data;linha;origem;destino;total transportados;Geo LocalizaÁ„o Origem;Geo LocalizaÁ„o Destino
28/jul/20;938C10;COHAB TAIPAS;TERM PRINC ISABEL;1817;;
28/jul/20;641210;PARAISOPOLIS;TERM PRINC ISABEL;1878;;
28/jul/20;870710;RIO PEQUENO;TERM PRINC ISABEL;12;;
28/jul/20;119C10;VILA SABRINA;TERM PRINC ISABEL;3101;;
28/jul/20;N73211;T JD ANGELA;TERM ROD JA JACIRA;70;;
28/jul/20;203310;JD GUANCA;TERM ROD TIETE;1327;;
28/jul/20;502110;AGUA FUNDA;TERM SACOMA;1940;;
28/jul/20;503610;JD CELESTE;TERM SACOMA;1299;;
28/jul/20;503010;JD MARIA ESTELA;TERM SACOMA;1387;;
28/jul/20;502910;JD PATENTE;TERM SACOMA;3255;;
28/jul/20;503810;PQ. BRISTOL;TERM SACOMA;5788;;
28/jul/20;503310;VILA BRASILINA;TERM SACOMA;835;;
28/jul/20;503410;VILA LIVIERO;TERM SACOMA;3305;;
28/jul/20;N20911;TERM CACHOEIRINHA;TERM SANTANA;54;;
28/jul/20;600010;TERM PARELHEIROS;TERM SANTO AM;18939;;
28/jul/20;702210;JD CAIÄARA;TERM SANTO AMARO;3173;;
28/jul/20;702310;JD NAKAMURA;TERM SANTO AMARO;5737;;
28/jul/20;607110;JD ORION;TERM SANTO AMARO;1200;;
28/jul/20;807A10;T CAMPO LIMPO;TERM SANTO AMARO;7555;;
28/jul/20;N60211;TERM GRAJAU;TERM SANTO AMARO;74;;
28/jul/20;354M10;TERM SAO MIGUEL;TERM SAO MATEU;8300;-23.491693, -46.434792;
28/jul/20;306310;GUAIANAZES;TERM SAO MATEUS;4777;;
28/jul/20;306341;GUAIANAZES;TERM SAO MATEUS;757;;
28/jul/20;401110;JD LIMOEIRO;TERM SAO MATEUS;5353;;
28/jul/20;401310;JD SANTO ANDRE;TERM SAO MATEUS;3777;;
28/jul/20;401810;METALURGICOS;TERM SAO MATEUS;8411;;
28/jul/20;603010;FACULDADE OSEC;TERM STO AMARO;5844;;
28/jul/20;6L1110;ILHA DO BORORE;TERM STO AMARO;960;;
28/jul/20;476A10;IPIRANGA;TERM STO AMARO;2874;;
28/jul/20;606251;JD CASTRO ALVES;TERM STO AMARO;957;;
28/jul/20;601410;JD JACIRA;TERM STO AMARO;5879;;
28/jul/20;601310;JD NAKAMURA;TERM STO AMARO;6331;;
28/jul/20;607610;JD PROGRESSO;TERM STO AMARO;2095;;
28/jul/20;607641;JD SATELITE II;TERM STO AMARO;162;;
28/jul/20;N70411;TERM CAPELINHA;TERM STO AMARO;126;;
28/jul/20;N73111;TERM CAPELINHA;TERM STO AMARO;7;;
28/jul/20;697010;TERM GRAJAU;TERM STO AMARO;6609;;
28/jul/20;N63111;TERM GRAJAU;TERM STO AMARO;25;;
28/jul/20;N63211;TERM GRAJAU;TERM STO AMARO;29;;
28/jul/20;N70311;TERM JD ANGELA;TERM STO AMARO;156;;
28/jul/20;696010;TERM VARGINHA;TERM STO AMARO;8328;;
28/jul/20;609110;VARGEM GRANDE;TERM STO AMARO;11482;;
28/jul/20;546T10;VILA GUACURI;TERM STO AMARO;11292;;
28/jul/20;400710;COHAB JUSCELINO;TERM V CARRAO;4385;;
28/jul/20;900910;COHAB BRASILANDIA;TERM V N CAC;5135;;
28/jul/20;900841;ESTANCIA JARAGUA;TERM V N CACH;96;;
28/jul/20;900410;JD ELISA MARIA;TERM V N CACHOE;2551;;
28/jul/20;900610;VILA PENTEADO;TERM V N CACHOEI;2185;;
28/jul/20;901110;CITY JARAGUA;TERM V N CACHOEIR;2125;;
28/jul/20;900210;JD PERY ALTO;TERM V N CACHOEIR;3027;;
28/jul/20;900510;JD PRINCESA;TERM V N CACHOEIR;6417;;
28/jul/20;900810;PQ TAIPAS;TERM V N CACHOEIR;2886;;
28/jul/20;607310;JD SANTA TEREZINHA;TERM VARGIN;1773;;
28/jul/20;608410;JD CHACARA DO SOL;TERM VARGINH;2506;;
28/jul/20;696021;ETVITOR MANZINI;TERM VARGINHA;483;;
28/jul/20;605210;J SETE SETEMBRO;TERM VARGINHA;1407;;
28/jul/20;605231;JD ALMEIDA PRADO;TERM VARGINHA;620;;
28/jul/20;607221;JD IPORA;TERM VARGINHA;153;;
28/jul/20;605110;JD ITAJAI;TERM VARGINHA;354;;
28/jul/20;605810;JD NORONHA;TERM VARGINHA;1328;;
28/jul/20;6L0710;JD SANTA FE;TERM VARGINHA;1126;;
28/jul/20;606310;JD VARGINHA;TERM VARGINHA;5949;;
28/jul/20;606341;JD VARGINHA;TERM VARGINHA;2744;;
28/jul/20;6L0110;MARSILAC;TERM VARGINHA;3339;;
28/jul/20;6L1041;MESSIANICA;TERM VARGINHA;644;;
28/jul/20;6L1010;PQ FLORESTAL;TERM VARGINHA;859;;
28/jul/20;691310;TERM BANDEIRA;TERM VARGINHA;17701;;
28/jul/20;600310;TERM GRAJAU;TERM VARGINHA;8546;;
28/jul/20;609310;VARGEM GRANDE;TERM VARGINHA;5943;;
28/jul/20;6L0122;VILA PROGRESSO;TERM VARGINHA;220;;
28/jul/20;400210;GUAIANAZES;TERM VILA CARRAO;4383;;
28/jul/20;400110;ITAQUERA;TERM VILA CARRAO;2050;;
28/jul/20;400810;JD CIBELE;TERM VILA CARRAO;2343;;
28/jul/20;210141;PCA SILVIO ROMERO;TERM VILA PR;84;;
28/jul/20;302110;PQ BANCARIO;TERM VILA PRUDENTE;756;;
28/jul/20;N40211;METRO ITAQUERA;TERM VL CARRAO;48;;
28/jul/20;635810;JD. LUSO;TERM. BANDEIRA;6460;;
28/jul/20;682310;JD. GUARUJA;TERM. CAPELINHA;1133;;-23.654266, -46.762191
28/jul/20;682031;JD.ROSAS;TERM. CAPELINHA;4198;;
28/jul/20;633810;JD. MIRIAM;TERM. PRINC. ISABEL;2334;;
28/jul/20;509M10;JD. MIRIAM;TERM. PRINC. ISABEL;4890;;
28/jul/20;4,25E+12;JD. ESTER;TERM. SAPOPEMBA;436;;
28/jul/20;607210;JD SAO NICOLAU;TERM. VARGINHA;6085;;
28/jul/20;626210;CEASA;TERM.BANDEIRA;3045;;
28/jul/20;645010;TERM.CAPELINHA;TERM.BANDEIRA;15953;;
28/jul/20;640010;TERM.JOAO DIAS;TERM.BANDEIRA;1748;;
28/jul/20;650010;TERM.STO.AMARO;TERM.BANDEIRA;7135;;
28/jul/20;683531;VALO VELHO;TERM.CAPELINHA;2570;;
28/jul/20;255110;TERM.A.E.CARVALHO;TERM.D.PEDRO;3515;;
28/jul/20;368610;JD.SAOPAULO;TERM.D.PEDRO II;4365;;
28/jul/20;511110;TERM.STO.AMARO;TERM.D.PEDRO II;11525;;
28/jul/20;255210;VILA MARA;TERM.D.PEDRO II;10220;;
28/jul/20;600110;TERM.CAPELINHA;TERM.JOAO DIAS;2513;;
28/jul/20;510510;TERM. SACOMA;TERM.MERCADO;7159;;
28/jul/20;695Y21;AUTODROMO;TERM.PARELHEIROS;455;;
28/jul/20;229010;TERM S MATEUS;TERM.PD PEDRO II;13069;;
28/jul/20;801510;CEM.PERUS;TERM.PIRITUBA;4522;;
28/jul/20;801610;JD.RINCAO;TERM.PIRITUBA;3701;;
28/jul/20;352A10;JD.HELENA;TERM.SAO MATEUS;5605;;
28/jul/20;300110;ITAIM PTA;TERM.SAO MIGUEL;2358;;-23.491693, -46.434792
28/jul/20;576C10;METRO JABAQUARA;TERM.STO AMARO;3;;
28/jul/20;605131;JD.ITAJAI;TERM.VARGINHA;151;;
28/jul/20;901442;BNH PORTUGUESA;TERMINAL LAPA;79;;
28/jul/20;854221;BRASILANDIA;TERMINAL LAPA;2919;;
28/jul/20;901410;MORRO GRANDE;TERMINAL LAPA;3423;;
28/jul/20;119L10;VILA SULINA;TERMINAL LAPA;356;;
28/jul/20;511021;SAO MATEUS;TERMINAL MERCADO;1001;;
28/jul/20;802910;SHOP PORTAL;TERMINAL MORIMBI;1633;;
28/jul/20;N83411;TERM LAPA;TERMINAL PINHEIROS;18;;
28/jul/20;199D10;VILA LORIO;TERMINAL PINHEIROS;6920;;
28/jul/20;101910;SOL NASCENTE;TERMINAL PIRITUBA;1466;;
28/jul/20;546L10;JD. LUSO;TERMINAL STO AMARO;4380;;
28/jul/20;800910;CID DABRIL III;TERMPIRITUBA;492;;
28/jul/20;800931;CID DABRIL III;TERMPIRITUBA;1635;;
28/jul/20;800810;STA MONICA;TERMPIRITUBA;2865;;
28/jul/20;820010;TERM PIRITUBA;TERMPIRITUBA;1100;;
28/jul/20;170210;JOVA RURAL;TIETE;5879;;
28/jul/20;9921PR;TERM CAMPO LIMPO;TRANSPPASS;1847;;
28/jul/20;978551;JD CAROMBE;TTVN CACHOEIRINHA;44;;
28/jul/20;172210;JD MARINA;TUCURUVI;11050;;
28/jul/20;N63811;TERM GRAJAU;UNISA;22;;
28/jul/20;N73411;TERM CAPELINHA;VALO VELHO;34;;
28/jul/20;N74111;TERM CAPELINHA;VALO VELHO;45;;
28/jul/20;N63911;TERM GRAJAU;VARGEM GRANDE;138;;
28/jul/20;573A10;METRO BRESSER;VILA ALPINA;1193;;
28/jul/20;402110;METRO ITAQUERA;VILA CHUCA;1489;;
28/jul/20;N34111;TERM SAO MIGUEL;VILA CISPER;11;-23.491693, -46.434792;
28/jul/20;372510;METRO V MATILDE;VILA DALILA;8;;
28/jul/20;N73311;TERM JD ANGELA;VILA GILDA;102;;
28/jul/20;677Y10;JD GUARUJA;VILA GUARANI;2797;;
28/jul/20;101710;PERUS;VILA IORIO;7294;;
28/jul/20;502J21;ESTACAO AUTODROMO;VILA JOANIZA;17;;
28/jul/20;503431;TERM SACOMA;VILA LIVIERO;3674;;
28/jul/20;407M10;VILA MONUMENTO;VILA MADALENA;746;;
28/jul/20;N14011;TERM PIRITUBA;VILA MIRANTE;22;;
28/jul/20;472410;METRO PATRIARCA;VILA NHOCUNE;1;;
28/jul/20;N23911;METR TUCURUVI;VILA NOVA GALVAO;18;;
28/jul/20;301910;TERM CIDADE TIRADENTES;VILA PA;777;;
28/jul/20;N13111;TERM LAPA;VILA PIAUI;11;;
28/jul/20;N53711;METRO VL MARIANA;VILA PRUDENTE;1;;
28/jul/20;511024;SAO MATEUS;VILA PRUDENTE;592;;
28/jul/20;N23311;METRO SANTANA;VILA SABRINA;35;;
28/jul/20;405510;CPTM GUAIANAZES;VILA SOLANGE;1947;;
28/jul/20;9932PR;TERM CIDADE TIRADENTES;VIP;3596;;
28/jul/20;9919PR;TERM J ANGELA;VIP GUARAPIRANGA;8445;;
28/jul/20;372541;METRO VL MATILDE;VL ARICANDUVA;3;;
28/jul/20;N44111;TERM CID TIRANDESTES;VL YOLAND;87;;
28/jul/20;577T10;JD. MIRIAM;VL. GOMES;3690;;
28/jul/20;917H10;MERCADO PIRITUBA;VLA MARIANA;12462;;
28/jul/20;537021;DETRAN;;1127;;
28/jul/20;691321;ITAIM BIBI;;3156;;
28/jul/20;801322;LAPA;;208;;
28/jul/20;270321;METRO ITAQUERA;;210;;
28/jul/20;401910;METRO ITAQUERA;;661;;
28/jul/20;PMETRO;PAESE METRO;;1043;;
28/jul/20;TREI10;TREINAMENTO;;31;;
28/jul/20;TREI10;TREINAMENTO;;156;;
