data;linha;origem;destino;total transportados;Geo LocalizaÁ„o Origem;Geo LocalizaÁ„o Destino
28/jul/20;270322;JD GIANETTI;METRO ITAQUERA;229;;-23.542297, -46.470757
28/jul/20;276641;JD INDAIA;METRO ITAQUERA;64;;-23.542297, -46.470757
28/jul/20;270810;JD LAJEADO;METRO ITAQUERA;5733;;-23.542297, -46.470757
28/jul/20;373L10;JD LIMOEIRO;METRO ITAQUERA;1138;;-23.542297, -46.470757
28/jul/20;272110;JD NAZARE;METRO ITAQUERA;176;;-23.542297, -46.470757
28/jul/20;407T10;JD REDIL;METRO ITAQUERA;2705;;-23.542297, -46.470757
28/jul/20;270410;JD ROBRU;METRO ITAQUERA;5270;;-23.542297, -46.470757
28/jul/20;379510;JD SAO CARLOS;METRO ITAQUERA;2564;;-23.542297, -46.470757
28/jul/20;371210;JD SAO JOAO;METRO ITAQUERA;1069;;-23.542297, -46.470757
28/jul/20;374310;SAO MATEUS;METRO ITAQUERA;3589;;-23.542297, -46.470757
28/jul/20;N34311;T A E CARVALHO;METRO ITAQUERA;42;;-23.542297, -46.470757
28/jul/20;N30611;TERM SAO MIGUEL;METRO ITAQUERA;48;-23.491693, -46.434792;-23.542297, -46.470757
28/jul/20;N40511;TERM V CARRAO;METRO ITAQUERA;56;;-23.542297, -46.470757
28/jul/20;272310;UNIAO DE V NOVA;METRO ITAQUERA;167;;-23.542297, -46.470757
28/jul/20;273110;VILA PROGRESSO;METRO ITAQUERA;4540;;-23.542297, -46.470757
28/jul/20;376810;VILA YOLANDA;METRO ITAQUERA;2975;;-23.542297, -46.470757
28/jul/20;371251;VL COSMOPOLITA;METRO ITAQUERA;1141;;-23.542297, -46.470757
28/jul/20;273310;PQ GUARANI;METRO ITAQUERA CIRC;3;;
28/jul/20;270731;CHABILANDIA;METRO ITQUERA;101;;
28/jul/20;570210;CIDADE JULIA;METRO JABAQUARA;5486;;
28/jul/20;707K10;GUARAPIRANGA;METRO JABAQUARA;6329;;
28/jul/20;175T10;METRO SANTANA;METRO JABAQUARA;13705;;
28/jul/20;472110;SHOP PLAZA SUL;METRO JABAQUARA;877;;
28/jul/20;N60311;TERM PINHEIROS;METRO JABAQUARA;128;;
28/jul/20;695X10;TERM VARGINHA;METRO JABAQUARA;10536;;
28/jul/20;178Y10;VILA AMELIA;METRO JD SAO PAULO;2209;;
28/jul/20;212710;JD BRASIL;METRO LIBERDADE;4817;;
28/jul/20;314J10;STA MADALENA;METRO LIBERDADE;3591;;
28/jul/20;314V10;VILA EMA;METRO LIBERDADE;718;;
28/jul/20;212310;VILA MEDEIROS;METRO LIBERDADE;3575;;
28/jul/20;807521;TERM CAMPO LIMPO;METRO MORUMBI;787;;
28/jul/20;472710;JD CLIMAX;METRO PÄ ARVORE;1895;;
28/jul/20;707A10;JD ANGELA;METRO PÄA DA ARVORE;9719;;
28/jul/20;579110;ELDORADO;METRO PARAISO;4;;
28/jul/20;857P10;TERM CAMPO LIMPO;METRO PARAISO;10586;;
28/jul/20;877T10;VILA ANASTACIO;METRO PARAISO;1131;;
28/jul/20;275610;GUAIANAZES;METRO PATRIARCA;2172;-23.576616, -46.409774;-23.531157, -46.501448
28/jul/20;270910;VILA UNIAO;METRO PATRIARCA;8;;
28/jul/20;695Y10;TERM PARELHEIROS;METRO PC ARVO;9862;;
28/jul/20;695H10;JD HERPLIN;METRO PC DA ARVORE;4395;;
28/jul/20;510514;EXP TIRADENTES ;METRO PEDRO II;3658;;
28/jul/20;275510;GUAIANAZES;METRO PENHA;5615;-23.576616, -46.409774;-23.533521, -46.542581
28/jul/20;273V10;PARADA XV NOVEMBRO;METRO PENHA;988;-23.531478, -46.436364;-23.533521, -46.542581
28/jul/20;271610;CHAC CRUZ DO SUL;METRO PENHA;46;;
28/jul/20;409310;CIDADE TIRADENTES;METRO PENHA;5286;;
28/jul/20;372210;COHAB J BONIFACIO;METRO PENHA;645;;
28/jul/20;277210;JD NAZARE;METRO PENHA;2746;;
28/jul/20;273J10;JD ROMANO;METRO PENHA;5903;;
28/jul/20;390110;JD. DANFER;METRO PENHA;773;;
28/jul/20;272610;LIMOEIRO;METRO PENHA;4104;;
28/jul/20;407N10;T CID TIRADENTES;METRO PENHA;13749;;
28/jul/20;173210;VILA SABRINA;METRO SANTA CECIL;3678;;
28/jul/20;857A10;T CAMPO LIMPO;METRO SANTA CRUZ;4283;;
28/jul/20;971X10;TERM CACHOEIRINHA;METRO SANTAN;10142;;
28/jul/20;178310;CACHOEIRA;METRO SANTANA;4499;;
28/jul/20;271A51;CANGAIBA;METRO SANTANA;3220;;
28/jul/20;971R42;CDHU VOITH;METRO SANTANA;1796;;
28/jul/20;971R51;CHICA LUISA;METRO SANTANA;221;;
28/jul/20;971C10;COHAB;METRO SANTANA;5994;;
28/jul/20;175710;CONJ BANCARIOS;METRO SANTANA;766;;
28/jul/20;201110;EDU CHAVES;METRO SANTANA;4590;;
28/jul/20;971R10;ESTACAO JARAGUA;METRO SANTANA;14450;;
28/jul/20;177810;JACANA;METRO SANTANA;1158;;
28/jul/20;178322;JARDIM LABITARY;METRO SANTANA;69;;
28/jul/20;174210;JD ANTARTICA;METRO SANTANA;4126;;
28/jul/20;175810;JD ANTARTICA;METRO SANTANA;4692;;
28/jul/20;178851;JD CAMPO LIMPO;METRO SANTANA;294;;
28/jul/20;176410;JD CORISCO;METRO SANTANA;4477;;
28/jul/20;971R21;JD DAMASCENO;METRO SANTANA;242;;
28/jul/20;178810;JD FONTALIS;METRO SANTANA;4090;;
28/jul/20;170921;JD JOAMAR;METRO SANTANA;59;;
28/jul/20;175910;JD PERY;METRO SANTANA;4370;;
28/jul/20;971A10;JD PRIMAVERA;METRO SANTANA;2774;;
28/jul/20;174410;LAUZANE PAULISTA;METRO SANTANA;3085;;
28/jul/20;203010;LAUZANE PAULISTA;METRO SANTANA;238;;
28/jul/20;175610;PEDRA BRANCA;METRO SANTANA;3066;;
28/jul/20;274010;PEDRA BRANCA;METRO SANTANA;1546;;
28/jul/20;271M10;PQ NOVO MUNDO;METRO SANTANA;3789;;
28/jul/20;N20611;TERM CASA VERDE;METRO SANTANA;14;;
28/jul/20;271A10;TERM PENHA;METRO SANTANA;5434;;
28/jul/20;N50711;TERM SACOMA;METRO SANTANA;34;;
28/jul/20;178210;V NOVA GALVAO;METRO SANTANA;2183;;
28/jul/20;178610;VILA ALBERTINA;METRO SANTANA;3481;;
28/jul/20;178510;VILA AURORA;METRO SANTANA;1857;;
28/jul/20;177310;VILA AYROSA;METRO SANTANA;2824;;
28/jul/20;174110;VILA DIONIZIA;METRO SANTANA;3802;;
28/jul/20;178710;VILA MARIETA;METRO SANTANA;2542;;
28/jul/20;971M10;VILA PENTEADO;METRO SANTANA;5184;;
28/jul/20;971T10;VILA SANTA MARIA;METRO SANTANA;3442;;
28/jul/20;172610;VILA ZILDA;METRO SANTANA;6445;;
28/jul/20;177110;VILA ZILDA;METRO SANTANA;2618;;
28/jul/20;474210;JD CLIMAX;METRO SAO JUDAS;2260;;
28/jul/20;627J10;JD MIRIAM;METRO SAO JUDAS;3950;;
28/jul/20;675A10;PQ.STO AMARO;METRO SAO JUDAS;3377;;
28/jul/20;473210;VILA LIVIERO;METRO SAUDE;1618;;
28/jul/20;473231;VILA LIVIERO;METRO SAUDE;4793;;
28/jul/20;118C10;JD PERY ALTO;METRO ST CECILIA;8596;;
28/jul/20;471810;JD CELESTE;METRO STA CRUZ;644;;
28/jul/20;471710;JD MARIA ESTELA;METRO STA CRUZ;489;;
28/jul/20;875C10;LAPA;METRO STA CRUZ;7460;;
28/jul/20;775V10;RIO PEQUENO;METRO STA CRUZ;1;;
28/jul/20;675K10;TERM JD ANGELA;METRO STA CRUZ;18498;;
28/jul/20;875C01;TERM LAPA;METRO STA CRUZ;3161;;
28/jul/20;313410;SHOP ARICANDUVA;METRO TAMANDUA;94;;
28/jul/20;511041;SAO MATEUS;METRO TAMANDUATEI;1742;;
28/jul/20;372U10;VILA SANTA ISABEL;METRO TATUAP;138;;
28/jul/20;276510;VILA CISPER;METRO TATUAPE;9732;-23.497099, -46.494557;-23.539582, -46.576514
28/jul/20;276710;CID PEDR J NUNES;METRO TATUAPE;776;;
28/jul/20;302910;JD DAS ROSAS;METRO TATUAPE;264;;
28/jul/20;276910;JD ROMANO;METRO TATUAPE;3766;;
28/jul/20;407J10;JD SOARES;METRO TATUAPE;12659;;
28/jul/20;376310;TERM VL CARRAO;METRO TATUAPE;60;;
28/jul/20;201010;JD BRASIL;METRO TIETE;3614;;
28/jul/20;174310;JD PERY ALTO;METRO TIETE;4855;;
28/jul/20;201210;VILA EDE;METRO TIETE;459;;
28/jul/20;177210;JD FILHOS DA TERRA;METRO TUCUR;3989;;
28/jul/20;170551;CEM PQ PINHEIROS;METRO TUCURUV;84;;
28/jul/20;202310;CACHOEIRA;METRO TUCURUVI;2981;;
28/jul/20;176710;EDU CHAVES;METRO TUCURUVI;2907;;
28/jul/20;176510;JD CABUÄU;METRO TUCURUVI;1953;;
28/jul/20;202910;JD FONTALIS;METRO TUCURUVI;2189;;
28/jul/20;170910;JD JOAMAR;METRO TUCURUVI;1699;;
28/jul/20;202341;JD LABITARY;METRO TUCURUVI;312;;
28/jul/20;170510;JD SAO JOAO ;METRO TUCURUVI;2645;;
28/jul/20;170121;JOVA RURAL;METRO TUCURUVI;1871;;
28/jul/20;170122;JOVA RURAL;METRO TUCURUVI;525;;
28/jul/20;N20111;TERM PQ D PEDRO;METRO TUCURUVI;54;;
